call_id,group,duration_s,duration_min,speech_s,speech_ratio,mean_pause_s,p90_pause_s,mean_segment_s,word_count,words_per_min,questions_per_100_words,transcript_confidence,direct_contact_proxy,wrong_party_proxy,objection_proxy,handling_proxy,empathy_proxy,legal_pressure_proxy,options_proxy,negotiation_proxy,commitment_proxy,refusal_proxy,effective_proxy,structure_score_0_5,payment_context_hits,outcome_proxy,rms_dbfs,energy_active_ratio,clipping_pct
0445c357-e465-49ae-8067-bfa91d11b532,Humano,309.52,5.1587,279.81,0.904,1.872,3.466,3.331,739,158.46,1.488,0.5575,1,0,0,0,0,0,1,1,0,0,1,5,45,Negociación,-19.587,0.751,0.0
09115a4a-ac50-4425-9dbc-b551a0b5342c,Humano,87.2,1.4533,82.96,0.9514,0.0,0.0,2.593,243,175.75,2.881,0.5631,1,0,0,0,0,0,1,1,1,0,1,5,12,Compromiso,-21.032,0.7034,0.0
0bc9a430-bdcd-44a7-a92d-e71dc33c8ad5,Humano,105.64,1.7607,50.3,0.4761,0.0,0.0,4.573,98,116.9,0.0,0.4903,1,0,0,0,1,0,0,0,0,0,0,1,0,Información / cierre,-20.109,0.7043,0.00012
0c6ada7d-d8c5-4840-ae79-0d8d573183dc,Humano,141.48,2.358,101.49,0.7173,0.0,0.0,8.457,58,34.29,0.0,0.8302,1,0,0,0,0,0,1,0,0,0,0,2,0,Información / cierre,-21.876,0.4419,0.0
0d2d37dd-38a4-40dd-ac62-b430f722ed57,Humano,594.72,9.912,581.72,0.9781,0.0,0.0,4.729,1257,129.65,4.853,0.5052,1,0,0,0,0,0,1,1,1,0,1,4,21,Compromiso,-18.384,0.6797,0.00063
1c72dd55-acbb-4ebe-a4d7-446cc294a4a1,Humano,224.62,3.7437,198.98,0.8859,1.502,2.164,3.262,403,121.52,0.993,0.4938,1,0,0,0,1,0,1,1,1,0,1,3,27,Compromiso,-19.208,0.7103,0.00011
1e3beb83-824b-4ad5-8483-f4ff6ea3c05e,Humano,160.76,2.6793,127.38,0.7924,0.0,0.0,2.088,341,160.62,1.76,0.6424,1,0,0,0,1,0,1,1,1,0,1,5,13,Compromiso,-20.346,0.692,8e-05
1f5cda00-bbf3-4770-97dc-99760ddadc1b,Humano,143.74,2.3957,126.99,0.8835,0.0,0.0,3.342,335,158.28,2.687,0.5012,1,0,0,0,0,0,1,1,1,0,1,5,16,Compromiso,-21.417,0.7248,0.0
2a92a64c-6ea8-48a0-b47a-445a3c577199,Humano,626.2,10.4367,596.62,0.9528,6.645,10.129,3.208,2236,224.87,0.313,0.5575,0,1,1,1,1,0,1,0,0,0,0,3,39,Tercero / no titular,-19.192,0.6855,0.00036
2b377b6a-4fa1-4910-8d68-9ee05f7c302a,Humano,202.66,3.3777,173.32,0.8552,0.0,0.0,4.127,367,127.05,0.545,0.5654,1,0,0,0,0,0,1,1,1,0,1,5,24,Compromiso,-21.839,0.6702,0.0
